,inputs,targets,language,language_code,annotation_type,user_id
0,Indil péeteg waat yi ci kàddu gii: Am tiit daldi ko roofu.,"Waat yi nekk ci kàddu gii di ""Am tiit daldi ko roofu."" ak séen i péete ñoo di:
Am: DET
tiit: NOUN
daldi: ADV
ko: PRON
roofu: VERB
.: PUNCT",Wolof,wol,original-annotations,0c6aa8c3d25553a4c26c9dcd82bce16fda710f035ac76ef8aaa655cdb56f6ca6
1,Jox ma péeteg waat yi ci kàddu gii: Te moom Sëñ Branco soof waakër Màki ba jàral léen ñu'y àddu jëme ca moom.,"Waat yi nekk ci kàddu gii di ""Te moom Sëñ Branco soof waakër Màki ba jàral léen ñu'y àddu jëme ca moom."" ak séen i péete ñoo di:
Te: CCONJ
moom: PRON
Sëñ: NOUN
Branco: PROPN
soof: ADJ
waakër: NOUN
Màki: PROPN
ba: SCONJ
jàral: VERB
léen: PRON
ñu: PRON
'y: AUX
àddu: VERB
jëme: VERB
ca: ADP
moom: PRON
.: PUNCT",Wolof,wol,original-annotations,0c6aa8c3d25553a4c26c9dcd82bce16fda710f035ac76ef8aaa655cdb56f6ca6
2,Bis ñaata waxtu la ?,24i waxtu,Wolof,wol,re-annotations,ab1a15be2f996dcae05d4f4e7c1499086fa709d5b25243eb80a600ec61bf1d4e
3,"Ndàx mbind mii jub na?
Ñu topp nag la séytaane ya doon jàng ca nguurug Suleymaan. Weddiwul de, séytaane ya ñoo weddi: Daan nañu jàngal nit ña ag njibar ak la ñu wàcce woon ca ñaari Malaaka ya ca (Baabil) (Haaruut ak Maaruut); te daawuñu jàngal kenn te waxuñu ko ne: ""Nun dey danoo ànd ak sànje: kon book bul weddi de"" ; mu am ñu jàng ci ñoom loo xam ne mën nañu caa téqale jëkkër ak jabaram. Te daawuñu mën a lor kenn ca njibar googule, lu dul ci coobare Yàlla. Te it jàng nañu loo xam ne daf leen di lor te mënuleeen a jariñ. Xam nañu xéll ne ku jënde loolu [weccee ko ak waxi Yàlla] du am benn cër ca àllaaxira. La ñu jaaye seen bakkan bon na! Cëy bu ñu xamoon!","Déedet; jubul cocc ba coset. Mbeqi ma a ngii:
Ñu topp nag la séytaane ya doon jàng ca ngùurug Suleymaan. Weddiwul de, séytaane ya ñoo weddi: Daan na ñu jàngal nit ña ag njibar ak la ñu wàccewoon ca ñaar i Malaaka ya ca (Baabil) (Haaruut ak Maaruut); te daawu ñu jàngal kenn te wàxu ñu ko ne: ""Nun dey da noo ànd ak sànje: kon boog bul weddi de""; mu àm ñu jàng ci ñoom loo xàm ne man na ñu caa téqale jëkkar ak jabaram. Te daawu ñu man a lor kenn ca njibar googule, lu dul ci coobare Yàlla. Te ìt jàng na ñu loo xàm ne da'f léen di lor te manu léen a jàriñ. Xàm na ñu xéll ne ku jënde loolu [weccee ko ak wàx i Yàlla] du àm benn cër ca àllaaxira. La ñu jaaye séen bakkan bon na! Cëy bu ñu xàmoon!",Wolof,wol,original-annotations,0c6aa8c3d25553a4c26c9dcd82bce16fda710f035ac76ef8aaa655cdb56f6ca6
4,"Baat u Àngale bii di 'consonant', lu mu'y tollool ci Wolof?",'Consonant' moo'y riiraale ci Wolof.,Wolof,wol,original-annotations,0c6aa8c3d25553a4c26c9dcd82bce16fda710f035ac76ef8aaa655cdb56f6ca6
5,"Fan mooy gëblag  réewum Slovénie?
","Gëblag  réewum Slovénie mu ngi tudu Ljubljana.
",Wolof,wol,re-annotations,336111fda4a1729e1f46570bd49d49017a7cbc51e9ad93c41251e4a428a38694
6,"Ndàx man ngaa jubbanti mbind mii?
– Mu ne moom nag: ""Nee na, nag la wu ñu bayloowul suuf si, du buy suuxat mbay, bu amul benn laago la te wenn melo la"". - Ñu ne ko: ""Agsi nga ci dëgg gi! "" Ñu rendi ko te xawoon nañu koo bañ a def.","Waaw! Mi ngii:
– Mu ne moom nag: ""Nee na, nag la wu ñu bayloowul sùuf si, du bu'y suuxat mbay, bu àmul benn laago la te wenn melo la"". - Ñu ne ko: ""Àgsi nga ci dëgg gi! ""Ñu rendi ko te xàwoon na ñu koo bàñ a def.",Wolof,wol,original-annotations,0c6aa8c3d25553a4c26c9dcd82bce16fda710f035ac76ef8aaa655cdb56f6ca6
7,"Porto-Novo mooy péeyu bann réew?
","Porto-Novo mooy péeyu réewum Bénin
",Wolof,wol,re-annotations,5dd72f79339c0e053085bf742a0ce2de4f9453af07df5a4a8672226327d7694e
8,"Beqil ma mbind mii:
Nu def ko muy mbugal, mu nekk luy waar ñi teew ak ñay ñëwi ca seen ginnaaw te di waaraateb way-gëm ña.","Mbind mi jub a ngi nii:
Nu def ko mu'y mbugal, mu nekk lu'y waar ñi teew ak ña'y ñëwi ca séen ginnaaw te di waaraateb waygëm ña.",Wolof,wol,original-annotations,0c6aa8c3d25553a4c26c9dcd82bce16fda710f035ac76ef8aaa655cdb56f6ca6
9,"Ci gan kembaar la réewum Equateur nekk ?
",Réewum Equateur mu ngi nekk ci kembaaru Amerique.,Wolof,wol,re-annotations,ab1a15be2f996dcae05d4f4e7c1499086fa709d5b25243eb80a600ec61bf1d4e
