,0,1,2,3,4,5,6
0,1014,6280040659062750990.wav,"Yëngu yëngu suuf si nekkoon na ci 20 km (15 miles)ci beet gannar-beet gannar ak pénku Dillon, ak lu wara tollok 65 km (40 miles) ci sowwu Butte.",yëngu yëngu suuf si nekkoon na ci 20 km 15 milesci beet gannar-beet gannar ak pénku dillon ak lu wara tollok 65 km 40 miles ci sowwu butte,y ë n g u | y ë n g u | s u u f | s i | n e k k o o n | n a | c i | 2 0 | k m | 1 5 | m i l e s c i | b e e t | g a n n a r - b e e t | g a n n a r | a k | p é n k u | d i l l o n | a k | l u | w a r a | t o l l o k | 6 5 | k m | 4 0 | m i l e s | c i | s o w w u | b u t t e |,535680,MALE
1,413,2830599359619727838.wav,"Kawalry mooy arme buy yéeg ci fas di xeex. Tegu bi kenn defaragu kowoon, leegi nak jaabalkati Assyrie dañu dan xeex ci kaw ay fass yu amoul teg.",kawalry mooy arme buy yéeg ci fas di xeex tegu bi kenn defaragu kowoon leegi nak jaabalkati assyrie dañu dan xeex ci kaw ay fass yu amoul teg,k a w a l r y | m o o y | a r m e | b u y | y é e g | c i | f a s | d i | x e e x | t e g u | b i | k e n n | d e f a r a g u | k o w o o n | l e e g i | n a k | j a a b a l k a t i | a s s y r i e | d a ñ u | d a n | x e e x | c i | k a w | a y | f a s s | y u | a m o u l | t e g |,204480,FEMALE
2,1165,16123386883327882812.wav,"Taarix kat yi jam nañu baaraamu tuuma takk déru FBI yu wésu yi ngir di liggéey ci mbir yu yomb yi, rawatina sàccum daamar, ngir yokk ndamu keer gi.",taarix kat yi jam nañu baaraamu tuuma takk déru fbi yu wésu yi ngir di liggéey ci mbir yu yomb yi rawatina sàccum daamar ngir yokk ndamu keer gi,t a a r i x | k a t | y i | j a m | n a ñ u | b a a r a a m u | t u u m a | t a k k | d é r u | f b i | y u | w é s u | y i | n g i r | d i | l i g g é e y | c i | m b i r | y u | y o m b | y i | r a w a t i n a | s à c c u m | d a a m a r | n g i r | y o k k | n d a m u | k e e r | g i |,262080,FEMALE
3,1100,16797357674437124697.wav,"Afrik sow jank danel the All black ( New Zealand)ci ben  bolo Tri Nations match rugby  ca the Royal Bafokeng ca Rustenburg, Afrik Sow jant.",afrik sow jank danel the all black  new zealandci ben  bolo tri nations match rugby  ca the royal bafokeng ca rustenburg afrik sow jant,a f r i k | s o w | j a n k | d a n e l | t h e | a l l | b l a c k | n e w | z e a l a n d c i | b e n | b o l o | t r i | n a t i o n s | m a t c h | r u g b y | c a | t h e | r o y a l | b a f o k e n g | c a | r u s t e n b u r g | a f r i k | s o w | j a n t |,238080,FEMALE
4,476,7326518482025040795.wav,"Ci jaar jaar bi, li ko taxon na jóg mooy siiw aak ni mu mënte jar. Ephesyen yi, mer lool, yëgle nanu ne Herostratus kenn mësul bnd tam fenn.",ci jaar jaar bi li ko taxon na jóg mooy siiw aak ni mu mënte jar ephesyen yi mer lool yëgle nanu ne herostratus kenn mësul bnd tam fenn,c i | j a a r | j a a r | b i | l i | k o | t a x o n | n a | j ó g | m o o y | s i i w | a a k | n i | m u | m ë n t e | j a r | e p h e s y e n | y i | m e r | l o o l | y ë g l e | n a n u | n e | h e r o s t r a t u s | k e n n | m ë s u l | b n d | t a m | f e n n |,280320,FEMALE
5,86,2108826139141591605.wav,Pittman diggle na anam yi du soppeeku ba beneen ayubés wa.,pittman diggle na anam yi du soppeeku ba beneen ayubés wa,p i t t m a n | d i g g l e | n a | a n a m | y i | d u | s o p p e e k u | b a | b e n e e n | a y u b é s | w a |,138240,FEMALE
6,870,14723017846160655322.wav,"Sudee dangeen nekk ci dëkk bu ngeen xamul lu bari ci àllam, moytu leen tëdd ci matelas wala coussin ci suuf.",sudee dangeen nekk ci dëkk bu ngeen xamul lu bari ci àllam moytu leen tëdd ci matelas wala coussin ci suuf,s u d e e | d a n g e e n | n e k k | c i | d ë k k | b u | n g e e n | x a m u l | l u | b a r i | c i | à l l a m | m o y t u | l e e n | t ë d d | c i | m a t e l a s | w a l a | c o u s s i n | c i | s u u f |,179520,MALE
7,721,4363601935084017323.wav,"Ci wétu géj yu am suuf su wéx ak ay janj yu beeri, réwmi mooy keeruk deekuk European bi geenee yagg ci Americas, légi bokk ci Santo Domingo.",ci wétu géj yu am suuf su wéx ak ay janj yu beeri réwmi mooy keeruk deekuk european bi geenee yagg ci americas légi bokk ci santo domingo,c i | w é t u | g é j | y u | a m | s u u f | s u | w é x | a k | a y | j a n j | y u | b e e r i | r é w m i | m o o y | k e e r u k | d e e k u k | e u r o p e a n | b i | g e e n e e | y a g g | c i | a m e r i c a s | l é g i | b o k k | c i | s a n t o | d o m i n g o |,284160,FEMALE
8,1422,4616168445963248980.wav,"Yoon bi gënna leer ngir jël business class mooy nga genne xaalis bu bare ngir lu rey loolu (wala, nga def ba ca kë liggéeyukaay defal la ko).",yoon bi gënna leer ngir jël business class mooy nga genne xaalis bu bare ngir lu rey loolu wala nga def ba ca kë liggéeyukaay defal la ko,y o o n | b i | g ë n n a | l e e r | n g i r | j ë l | b u s i n e s s | c l a s s | m o o y | n g a | g e n n e | x a a l i s | b u | b a r e | n g i r | l u | r e y | l o o l u | w a l a | n g a | d e f | b a | c a | k ë | l i g g é e y u k a a y | d e f a l | l a | k o |,311040,MALE
9,1422,15892432487738013874.wav,"Yoon bi gënna leer ngir jël business class mooy nga genne xaalis bu bare ngir lu rey loolu (wala, nga def ba ca kë liggéeyukaay defal la ko).",yoon bi gënna leer ngir jël business class mooy nga genne xaalis bu bare ngir lu rey loolu wala nga def ba ca kë liggéeyukaay defal la ko,y o o n | b i | g ë n n a | l e e r | n g i r | j ë l | b u s i n e s s | c l a s s | m o o y | n g a | g e n n e | x a a l i s | b u | b a r e | n g i r | l u | r e y | l o o l u | w a l a | n g a | d e f | b a | c a | k ë | l i g g é e y u k a a y | d e f a l | l a | k o |,224640,MALE
10,404,16727603828553275120.wav,"Ci ndorteelu xare bi, dañoo tukki jaar ci kaw géeej gi lu bare, wante ba radar yi dooree di yokku te di gëna xarañ.",ci ndorteelu xare bi dañoo tukki jaar ci kaw géeej gi lu bare wante ba radar yi dooree di yokku te di gëna xarañ,c i | n d o r t e e l u | x a r e | b i | d a ñ o o | t u k k i | j a a r | c i | k a w | g é e e j | g i | l u | b a r e | w a n t e | b a | r a d a r | y i | d o o r e e | d i | y o k k u | t e | d i | g ë n a | x a r a ñ |,168000,FEMALE
11,13,6807133439615617263.wav,Raonic moo ko dóor bu yàggul dara ci à l'Open de Brisbane.,raonic moo ko dóor bu yàggul dara ci à l'open de brisbane,r a o n i c | m o o | k o | d ó o r | b u | y à g g u l | d a r a | c i | à | l ' o p e n | d e | b r i s b a n e |,174720,FEMALE
12,334,2861188110715479789.wav,"Orchestre symphonique bu dëkk bii di Istanbul moo ko doon gunge, kuréelu waa Janis, ak waykat yi di Fatih Erkoç ak Müslüm Gürses.",orchestre symphonique bu dëkk bii di istanbul moo ko doon gunge kuréelu waa janis ak waykat yi di fatih erkoç ak müslüm gürses,o r c h e s t r e | s y m p h o n i q u e | b u | d ë k k | b i i | d i | i s t a n b u l | m o o | k o | d o o n | g u n g e | k u r é e l u | w a a | j a n i s | a k | w a y k a t | y i | d i | f a t i h | e r k o ç | a k | m ü s l ü m | g ü r s e s |,168000,FEMALE
13,278,1958684955552248716.wav,"Mitt Romney mii, doonoon Guvernër Massachusetts, gañena eleksioŋ yi fal njiitu réew ci etaa bu Floride, amna lu tollu 46% ci kart yi.",mitt romney mii doonoon guvernër massachusetts gañena eleksioŋ yi fal njiitu réew ci etaa bu floride amna lu tollu 46% ci kart yi,m i t t | r o m n e y | m i i | d o o n o o n | g u v e r n ë r | m a s s a c h u s e t t s | g a ñ e n a | e l e k s i o ŋ | y i | f a l | n j i i t u | r é e w | c i | e t a a | b u | f l o r i d e | a m n a | l u | t o l l u | 4 6 % | c i | k a r t | y i |,277440,MALE
14,604,13826601285457939367.wav,"Ñoo bokk binduni molecule, muy gaz, muy liquide wala muy lu dëgër (solide).",ñoo bokk binduni molecule muy gaz muy liquide wala muy lu dëgër solide,ñ o o | b o k k | b i n d u n i | m o l e c u l e | m u y | g a z | m u y | l i q u i d e | w a l a | m u y | l u | d ë g ë r | s o l i d e |,123840,FEMALE
